store_number,mgmtintname,ip_address,brand
ARG00001,internal,10.213.181.1,Arbys
ARG00002,internal,10.211.172.1,Arbys
ARG00003,internal,10.213.53.1,Arbys
ARG00010,internal,10.211.117.1,Arbys
ARG00011,internal,10.210.92.1,Arbys
ARG00013,internal,10.211.166.1,Arbys
ARG00014,internal,10.211.46.1,Arbys
ARG00022,internal,10.212.77.1,Arbys
ARG00023,internal,10.213.251.1,Arbys
ARG00025,internal,10.211.167.1,Arbys
ARG00030,internal,10.208.2.1,Arbys
ARG00034,internal,10.210.156.1,Arbys
ARG00038,internal,10.213.56.1,Arbys
ARG00039,internal,10.210.89.1,Arbys
ARG00041,internal,10.210.154.1,Arbys
ARG00045,internal,10.208.103.1,Arbys
ARG00047,internal,10.212.94.1,Arbys
ARG00048,internal,10.211.168.1,Arbys
ARG00050,internal,10.211.195.1,Arbys
ARG00053,internal,10.213.205.1,Arbys
ARG00054,internal,10.211.196.1,Arbys
ARG00063,internal,10.211.169.1,Arbys
ARG00069,internal,10.210.7.1,Arbys
ARG00073,internal,10.211.170.1,Arbys
ARG00083,internal,10.211.37.1,Arbys
ARG00084,internal,10.208.3.1,Arbys
ARG00085,internal,10.212.176.1,Arbys
ARG00086,internal,10.212.248.1,Arbys
ARG00097,internal,10.212.104.1,Arbys
ARG00099,internal,10.213.7.1,Arbys
ARG00102,internal,10.208.83.1,Arbys
ARG00103,internal,10.212.3.1,Arbys
ARG00111,internal,10.208.93.1,Arbys
ARG00112,internal,10.210.83.1,Arbys
ARG00118,internal,10.211.249.1,Arbys
ARG00121,internal,10.213.158.1,Arbys
ARG00126,internal,10.211.67.1,Arbys
ARG00128,internal,10.208.5.1,Arbys
ARG00130,internal,10.211.171.1,Arbys
ARG00132,internal,10.210.122.1,Arbys
ARG00133,internal,10.210.110.1,Arbys
ARG00143,internal,10.210.192.1,Arbys
ARG00149,internal,10.211.141.1,Arbys
ARG00151,internal,10.210.63.1,Arbys
ARG00155,internal,10.212.1.1,Arbys
