store_number,mgmtintname,ip_address,brand
IBR-BWW-00015_2,LAN,10.96.6.1,BWW
IBR-BWW-00018_2,LAN,10.96.7.1,BWW
IBR-BWW-00020_2,LAN,10.96.9.1,BWW
IBR-BWW-00021_2,LAN,10.96.10.1,BWW
IBR-BWW-00023_2,LAN,10.96.11.1,BWW
IBR-BWW-00025_2,LAN,10.96.12.1,BWW
IBR-BWW-00026_2,LAN,10.96.13.1,BWW
IBR-BWW-00027_2,LAN,10.96.14.1,BWW
IBR-BWW-00028_2,LAN,10.96.15.1,BWW
IBR-BWW-00032_2,LAN,10.96.17.1,BWW
IBR-BWW-00035_2,LAN,10.96.18.1,BWW
IBR-BWW-00039_2,LAN,10.96.19.1,BWW
IBR-BWW-00040_2,LAN,10.96.20.1,BWW
IBR-BWW-00045_2,LAN,10.96.22.1,BWW
IBR-BWW-00049_2,LAN,10.96.23.1,BWW
IBR-BWW-00050_2,LAN,10.96.24.1,BWW
IBR-BWW-00055_2,LAN,10.96.25.1,BWW
IBR-BWW-00056_2,LAN,10.96.26.1,BWW
IBR-BWW-00058_2,LAN,10.96.27.1,BWW
IBR-BWW-00059_2,LAN,10.96.28.1,BWW
IBR-BWW-00060_2,LAN,10.96.29.1,BWW
IBR-BWW-00061_2,LAN,10.96.30.1,BWW
IBR-BWW-00065_2,LAN,10.96.32.1,BWW
IBR-BWW-00066_2,LAN,10.96.33.1,BWW
IBR-BWW-00067_2,LAN,10.96.34.1,BWW
IBR-BWW-00069_2,LAN,10.96.35.1,BWW
IBR-BWW-00070_2,LAN,10.96.36.1,BWW
IBR-BWW-00071_2,LAN,10.96.37.1,BWW
IBR-BWW-00073_2,LAN,10.96.39.1,BWW
IBR-BWW-00074_2,LAN,10.96.40.1,BWW
IBR-BWW-00075_2,LAN,10.96.41.1,BWW
IBR-BWW-00076_2,LAN,10.96.42.1,BWW
IBR-BWW-00077_2,LAN,10.96.43.1,BWW
IBR-BWW-00079_2,LAN,10.96.44.1,BWW
IBR-BWW-00081_2,LAN,10.96.45.1,BWW
IBR-BWW-00082_2,LAN,10.96.46.1,BWW
IBR-BWW-00085_2,LAN,10.96.49.1,BWW
IBR-BWW-00087_2,LAN,10.96.51.1,BWW
IBR-BWW-00088_2,LAN,10.96.52.1,BWW
IBR-BWW-00089_2,LAN,10.96.53.1,BWW
IBR-BWW-00091_2,LAN,10.96.54.1,BWW
IBR-BWW-00092_2,LAN,10.96.55.1,BWW
IBR-BWW-00093_2,LAN,10.96.56.1,BWW
IBR-BWW-00094_2,LAN,10.96.57.1,BWW
IBR-BWW-00095_2,LAN,10.96.58.1,BWW
IBR-BWW-00096_2,LAN,10.96.59.1,BWW
IBR-BWW-00097_2,LAN,10.96.60.1,BWW
IBR-BWW-00098_2,LAN,10.96.61.1,BWW
IBR-BWW-00099_2,LAN,10.96.62.1,BWW
IBR-BWW-00100_2,LAN,10.96.63.1,BWW
IBR-BWW-00101_2,LAN,10.96.64.1,BWW
IBR-BWW-00102_2,LAN,10.96.65.1,BWW
IBR-BWW-00103_2,LAN,10.96.66.1,BWW
IBR-BWW-00106_2,LAN,10.96.69.1,BWW
IBR-BWW-00110_2,LAN,10.96.73.1,BWW
IBR-BWW-00111_2,LAN,10.96.74.1,BWW
IBR-BWW-00113_2,LAN,10.96.75.1,BWW
IBR-BWW-00114_2,LAN,10.96.76.1,BWW
IBR-BWW-00115_2,LAN,10.96.77.1,BWW
IBR-BWW-00117_2,LAN,10.96.79.1,BWW
IBR-BWW-00118_2,LAN,10.96.80.1,BWW
IBR-BWW-00119_2,LAN,10.96.81.1,BWW
IBR-BWW-00120_2,LAN,10.96.82.1,BWW
IBR-BWW-00122_2,LAN,10.96.84.1,BWW
IBR-BWW-00123_2,LAN,10.96.85.1,BWW
IBR-BWW-00124_2,LAN,10.96.86.1,BWW
IBR-BWW-00125_2,LAN,10.96.87.1,BWW
IBR-BWW-00126_2,LAN,10.96.88.1,BWW
IBR-BWW-00127_2,LAN,10.96.89.1,BWW
IBR-BWW-00128_2,LAN,10.96.90.1,BWW
IBR-BWW-00129_2,LAN,10.96.91.1,BWW
